PRODUCT_ID*31,MANUFACTURER,MAIN_CATEGORY
336052431,UltimateEars,Audio & Hifi
322261182,JBL,Audio & Hifi
328045410,LGElectronics,Handy
35976275,Apple,Apple
241400100,Nokia,Handy
345242257,fitbit,Wearables
271533774,HTC,Handy
313921562,PocketBook,Tablets
314217767,Acer,Tablets
323083457,Bose,Audio & Hifi
331615835,Huawei,Handy
345454328,Samsung,Handy
346342199,Apple,Tablets
252107872,Microsoft,Konsolen
344727192,Sony,Handy
318479678,Motorola,Handy
345038649,Apple,Laptop
333551630,Lenovo,Tablets
319869408,Pentax,Kameras
345449430,Apple,Laptop
354231048,Apple,Laptop
339447334,Sony,Kameras
345039083,Microsoft,Tablets
380429272,Apple,Laptop
338867479,Huawei,Handy
349870092,Apple,Laptop
380431938,Apple,Laptop
347134962,Apple,Laptop
291040276,Canon,Kameras
380430977,Apple,Laptop
345294244,Apple,Apple
352329539,Apple,Laptop
330530277,Canon,Kameras
265931485,Pentax,Kameras
380174235,Apple,Wearables
353952823,Samsung,Handy
353895938,Xiaomi,Handy
346003307,Samsung,Handy
380433798,Apple,Laptop
346002780,Apple,Laptop
382272873,Apple,Laptop
354179495,Nintendo,Konsolen
380438789,Apple,Laptop
342405447,BangOlufsen,Audio & Hifi
380438138,Apple,Laptop
380436960,Apple,Laptop
266862353,Fairphone,Handy
344342637,Sony,Handy
380434976,Apple,Laptop
380437673,Apple,Laptop
252110631,Sony,Konsolen
380429489,Apple,Laptop
280117054,Microsoft,Tablets
380227245,Apple,Wearables
354231730,Apple,Laptop
339806686,Apple,Laptop
354207984,Samsung,Handy
344342823,Apple,Laptop
380229198,Apple,Wearables
344977672,Sony,Konsolen
318700708,Apple,Tablets
313534155,Sigma,Kameras
346504949,Microsoft,Tablets
328042930,Huawei,Handy
333551692,Lenovo,Tablets
53739771,Sony,Konsolen
319394333,Apple,Wearables
339807182,Apple,Laptop
322259880,UltimateEars,Audio & Hifi
323342586,Apple,Wearables
327161569,Wiko,Handy
319887729,Sigma,Kameras
112164169,Canon,Kameras
327161011,Wiko,Handy
333819408,BangOlufsen,Audio & Hifi
98623617,Samsung,Tablets
252536912,Amazon,Tablets
282383743,Samsung,Tablets
291342867,Samsung,Kameras
342152084,Garmin,Wearables
330216123,Sennheiser,Audio & Hifi
330221827,BeatsbyDrDre,Audio & Hifi
344891988,Apple,Apple
291340294,Canon,Kameras
330215844,BeatsElectronics,Audio & Hifi
340282381,JBL,Audio & Hifi
338435029,Teufel,Audio & Hifi
323603823,Sony,Kameras
237289903,Oppo,Handy
305478464,Samsung,Handy
319887264,Sigma,Kameras
323343578,Apple,Handy
353596540,Nokia,Handy
330385259,Apple,Laptop
318972950,Amazon,Tablets
81308970,Apple,Apple
342152673,TrekStor,Tablets
354169544,Apple,Tablets
333454445,HouseofMarley,Audio & Hifi
332842939,Sony,Audio & Hifi
317285372,Sony,Konsolen
318476981,Samsung,Handy
